setmana 1;5,7,11,13,23,24,30
setmana 2;9,13,14,24,34,35,37
setmana 3;2,8,15,21,29,31,38
setmana 4;3,10,16,25,28,32,39
setmana 5;1,4,12,18,27,30,36
setmana *;7,14,19,26,33,38,2
setmana 7;8,16,21,29,34,37,39
setmana 8;6,11,17,22,28,35,1
setmana 9;4,9,15,20,31,36,39
setmana 10;2,7,13,19,24,33,38
setmana 11;3,8,14,25,29,34,37
setmana 12;1,5,12,18,26,32,35
setmana zzc;1,5,13,22,24,25,26
setmana 13;1,**,5,6,13,2b,34
setmana 14;4,6,17,19,24,33
setmana 15;5,9,15,35,39,41,105
setmana 16;5,12,3,35,12,14,36
setmana f7;5,13,22,24,25,26
setmana 18;0,5,13,22,40,25,26
setmana 19;1,5,13,22,24,25,26,33
setmana abc;1,5,13,22,24,25,26
setmana 21;5,5,10,15,20,25,30
setmana 22;1,2,3,4,5,6,50
setmana 23;9,16,23,27,31,35,38
setmana 24;2,7,14,21,26,33,37
setmana 25;3,8,15,22,29,34,39
setmana 26;1,6,12,18,25,32,36
setmana 27;4,11,17,24,28,35,37
setmana 28;5,10,16,23,30,33,38
setmana 29;2,9,13,19,27,31,39
setmana 30;3,7,14,20,26,34,36
setmana 31;6,11,18,22,29,35,37
setmana 32;1,8,15,21,28,32,38
setmana 33;4,10,17,23,30,33,39
setmana 34;2,7,12,19,25,31,36
